id,name,age,salary,date,category
08133,None Lee,16,102784.0,2022-11-14 00:00:00,B
04996,Diana,43,48330.35,2020-02-19 00:00:00,A
00720,Charlie None,28,126557.9,2023-03-29 00:00:00,A
08238,Bob Smith,39,71411.52,2022-11-05 00:00:00,A
04556,Alice Smith,45,134590.725,2020-06-20 00:00:00,B
06652,Frank,38,58793.045,2022-06-23 00:00:00,B
05651,Diana Johnson,44,43432.43,2025-11-02 00:00:00,B
09035,Alice,10,53309.34,2024-01-10 00:00:00,A
01261,Alice Van Der Waal,29,32652.4,2022-04-26 00:00:00,C
00645,Eve,48,95124.5,2022-09-05 00:00:00,C
09099,Alice None,41,57646.23,2023-06-17 00:00:00,C
03761,Unknown,57,33756.82,2025-11-02 00:00:00,C
00035,Unknown,55,39680.05,2025-11-02 00:00:00,B
08087,Alice O'Connor,38,38755.1,2023-12-11 00:00:00,B
04874,Frank Johnson,31,95018.77,2023-08-26 00:00:00,B
01539,Diana,23,58793.045,2025-11-02 00:00:00,A
03356,Frank,29,56034.18,2022-08-18 00:00:00,A
00889,Charlie Smith,35,49878.77,2021-05-08 00:00:00,C
08565,Bob O'Connor,27,58793.045,2023-04-21 00:00:00,B
00530,Eve Lee,35,134590.725,2023-12-02 00:00:00,B
07082,Unknown,39,53265.78,2020-09-01 00:00:00,C
09306,Eve,55,-30.04,2020-12-14 00:00:00,C
05773,Bob Johnson,46,50784.42,2024-01-15 00:00:00,B
09489,Unknown,31,134590.725,2022-11-05 00:00:00,A
03363,Frank Smith,47,32545.82,2025-11-02 00:00:00,C
07043,Bob,39,89636.27,2020-01-05 00:00:00,B
01491,Bob Johnson,34,40958.03,2022-06-23 00:00:00,A
01735,Grace Van Der Waal,35,134590.725,2020-12-11 00:00:00,B
09268,Diana,32,84852.8,2022-07-07 00:00:00,C
04363,Bob Lee,42,25542.62,2025-11-02 00:00:00,B
02049,Alice O'Connor,35,37581.5,2020-05-16 00:00:00,A
05968,Diana,26,84337.02,2021-04-13 00:00:00,B
02833,Grace Smith,25,83191.12,2025-11-02 00:00:00,C
05482,Eve,38,80142.57,2021-10-31 00:00:00,C
06554,Frank,40,64750.21,2020-02-03 00:00:00,A
05270,Diana Lee,31,51048.88,2022-02-06 00:00:00,A
00829,Unknown,21,103091.65,2025-11-02 00:00:00,C
06465,Alice,50,38867.81,2021-12-10 00:00:00,C
03802,Bob,47,61495.34,2021-10-16 00:00:00,C
07234,Alice,11,43911.39,2025-11-02 00:00:00,B
04981,Grace Johnson,51,42194.3,2021-09-05 00:00:00,B
00321,Frank,32,47595.81,2020-06-04 00:00:00,C
09817,Unknown,37,41455.2,2021-01-14 00:00:00,A
05300,Lee,48,58793.045,2023-07-08 00:00:00,C
01784,Bob Smith,54,28622.52,2022-10-30 00:00:00,C
05317,Diana Lee,47,74273.44,2021-09-14 00:00:00,B
08418,Unknown,37,43602.37,2021-09-22 00:00:00,C
03484,Frank,18,60790.83,2021-08-31 00:00:00,C
07989,Unknown,10,55081.97,2023-10-04 00:00:00,B
01055,Bob O'Connor,45,46648.18,2023-05-07 00:00:00,C
04578,O'Connor,51,109816.02,2023-06-12 00:00:00,C
07527,Charlie Johnson,25,49739.71,2025-11-02 00:00:00,A
01628,Bob,31,85114.37,2020-10-28 00:00:00,B
02751,Charlie None,28,85664.49,2023-05-24 00:00:00,A
03337,O'Connor,27,52245.44,2022-03-09 00:00:00,A
02900,Bob,35,31922.14,2020-01-11 00:00:00,A
06668,Alice Van Der Waal,37,58793.045,2025-11-02 00:00:00,C
02368,Unknown,32,113481.96,2025-11-02 00:00:00,C
04590,Bob None,66,76594.1,2022-09-22 00:00:00,A
02648,Grace Smith,17,64178.77,2020-10-26 00:00:00,B
07516,Lee,35,45093.18,2023-10-15 00:00:00,A
01737,Grace,22,134590.725,2022-04-28 00:00:00,A
09144,Bob Smith,33,38791.1,2025-11-02 00:00:00,B
03193,Alice,36,64206.17,2021-03-02 00:00:00,A
09588,Alice O'Connor,45,76949.41,2020-03-18 00:00:00,A
06538,Frank O'Connor,31,31167.99,2023-04-21 00:00:00,B
03347,Eve Van Der Waal,30,40976.75,2020-08-12 00:00:00,C
03449,Eve,31,47630.44,2022-03-01 00:00:00,C
03571,Eve,22,92129.93,2023-11-24 00:00:00,A
02311,Alice Johnson,42,48102.07,2020-02-12 00:00:00,B
04791,Alice Van Der Waal,38,29199.45,2022-07-12 00:00:00,A
09673,Bob Lee,40,27829.69,2022-01-21 00:00:00,A
05762,O'Connor,35,40802.57,2023-04-08 00:00:00,B
04996,Grace,32,28422.77,2022-04-19 00:00:00,C
06303,Bob Van Der Waal,49,87932.24,2023-11-04 00:00:00,C
06865,Alice Van Der Waal,47,89672.57,2023-08-23 00:00:00,C
07593,Charlie,51,60085.72,2021-12-30 00:00:00,B
05355,Diana Johnson,39,52493.39,2022-08-15 00:00:00,C
02211,Alice Johnson,51,86751.09,2021-08-11 00:00:00,A
08756,Charlie Lee,30,84973.09,2025-11-02 00:00:00,A
06982,Unknown,32,36558.18,2020-07-19 00:00:00,C
05900,Bob,49,39173.01,2021-03-29 00:00:00,A
03763,Bob Van Der Waal,45,85243.92,2022-11-10 00:00:00,B
09118,Eve,31,68547.19,2022-04-07 00:00:00,B
05399,Diana,22,81155.12,2025-11-02 00:00:00,A
01919,Alice Johnson,32,38293.6,2021-04-04 00:00:00,B
04553,Unknown,26,41116.71,2023-05-31 00:00:00,B
05851,Grace O'Connor,55,75504.26,2020-05-18 00:00:00,A
05442,Diana Johnson,44,42574.91,2020-10-13 00:00:00,A
01467,Diana,25,28001.97,2021-09-03 00:00:00,C
05243,Grace Johnson,22,42898.59,2025-11-02 00:00:00,C
00487,Grace None,25,54037.35,2023-11-07 00:00:00,C
05763,Alice Smith,28,134590.725,2020-09-07 00:00:00,B
08610,Alice,32,39370.69,2020-10-15 00:00:00,C
09781,Grace,48,58055.63,2022-03-06 00:00:00,C
04658,None Van Der Waal,23,134590.725,2023-10-06 00:00:00,B
09831,Charlie None,62,34658.43,2023-01-14 00:00:00,B
09120,Lee,23,83303.41,2025-11-02 00:00:00,A
07638,Unknown,18,41961.67,2020-01-10 00:00:00,A
00964,Bob Johnson,55,73192.38,2023-06-15 00:00:00,A
08855,Unknown,50,134590.725,2021-07-20 00:00:00,A
08055,None O'Connor,32,88945.14,2021-12-24 00:00:00,A
04219,Bob Van Der Waal,39,64597.4,2021-11-29 00:00:00,B
01920,Charlie Johnson,39,37213.93,2021-08-04 00:00:00,A
06864,Bob,36,54846.28,2020-04-08 00:00:00,A
04946,Frank Johnson,19,45130.84,2021-04-13 00:00:00,A
00191,Bob Johnson,5,28990.48,2020-08-03 00:00:00,B
05295,Bob Van Der Waal,24,20651.44,2025-11-02 00:00:00,A
03118,Charlie Johnson,56,39528.09,2020-07-15 00:00:00,B
08864,Diana,57,58937.13,2022-04-20 00:00:00,C
09351,Frank Johnson,31,104784.29,2021-07-22 00:00:00,A
07732,Van Der Waal,23,41394.59,2021-09-25 00:00:00,B
01627,Charlie,38,65894.31,2023-04-26 00:00:00,A
06340,Alice Van Der Waal,40,25575.84,2025-11-02 00:00:00,B
05799,Bob Lee,42,40126.77,2021-08-16 00:00:00,B
07311,Unknown,4,17611.99,2022-06-06 00:00:00,A
03908,Alice,72,-30.04,2022-10-24 00:00:00,B
06633,Unknown,48,66104.76,2023-01-12 00:00:00,A
09001,Unknown,32,65069.14,2021-04-14 00:00:00,A
09951,Unknown,35,78245.75,2021-08-25 00:00:00,B
00373,Bob None,46,134590.725,2023-08-20 00:00:00,C
03223,Alice O'Connor,35,48163.8,2020-01-26 00:00:00,C
00899,Frank,36,36666.28,2023-07-06 00:00:00,A
02677,Bob Van Der Waal,40,58793.045,2021-02-16 00:00:00,B
00049,Eve Smith,33,32356.07,2020-02-27 00:00:00,C
09736,Charlie O'Connor,39,114584.01,2022-09-15 00:00:00,C
06806,Bob O'Connor,43,57704.49,2023-01-18 00:00:00,C
09514,Bob,39,-30.04,2021-04-08 00:00:00,A
04203,Unknown,38,29191.81,2023-08-23 00:00:00,A
07326,Unknown,51,134590.725,2021-02-27 00:00:00,C
02483,Bob,15,49458.28,2025-11-02 00:00:00,C
06484,Alice,25,42164.06,2020-11-02 00:00:00,C
06170,Unknown,35,78761.96,2022-06-16 00:00:00,B
03696,None O'Connor,26,43369.77,2025-11-02 00:00:00,A
00291,Eve,30,74030.31,2023-01-13 00:00:00,B
00017,Frank O'Connor,50,31872.83,2022-10-11 00:00:00,C
09930,Frank Van Der Waal,33,64395.83,2022-03-04 00:00:00,B
08224,Charlie,13,-30.04,2022-11-23 00:00:00,C
03403,Diana Lee,29,40471.03,2022-06-17 00:00:00,C
01137,Frank Smith,35,37396.69,2022-04-16 00:00:00,B
01402,Unknown,35,93239.98,2023-09-21 00:00:00,B
06297,Alice Lee,41,58793.045,2021-12-07 00:00:00,C
00349,Grace Van Der Waal,40,54614.64,2023-11-23 00:00:00,C
00897,Unknown,33,74126.84,2020-06-20 00:00:00,B
08109,Unknown,20,105881.8,2025-11-02 00:00:00,B
02482,Bob O'Connor,29,37736.13,2020-09-29 00:00:00,A
06892,None Van Der Waal,35,58793.045,2021-05-12 00:00:00,B
07843,Frank Johnson,31,37993.6,2023-04-23 00:00:00,A
04498,Grace,43,53946.22,2021-07-17 00:00:00,A
04192,Alice,39,101981.17,2024-01-26 00:00:00,B
07671,Bob,44,18526.79,2021-12-25 00:00:00,B
07395,Alice O'Connor,30,37743.2,2022-04-06 00:00:00,B
01219,Alice,53,53334.42,2023-09-24 00:00:00,C
09530,Charlie Smith,43,72425.35,2021-12-30 00:00:00,B
07156,Charlie,36,110180.61,2020-08-23 00:00:00,B
06271,Lee,42,25625.92,2023-08-18 00:00:00,A
