id,name,age,salary,date,category
8133,None Lee,16,102784.0,2022-11-14,B
4996,Diana,43,48330.35,2020-02-19,A
720,Charlie None,28,126557.9,2023-03-29,A
8238,Bob Smith,39,71411.52,2022-11-05,A
4556,Alice Smith,45,134590.725,2020-06-20,B
6652,Frank,38,58793.045,2022-06-23,B
5651,Diana Johnson,44,43432.43,2025-11-02,B
9035,Alice,10,53309.34,2024-01-10,A
1261,Alice Van Der Waal,29,32652.4,2022-04-26,C
645,Eve,48,95124.5,2022-09-05,C
9099,Alice None,41,57646.23,2023-06-17,C
3761,Unknown,57,33756.82,2025-11-02,C
35,Unknown,55,39680.05,2025-11-02,B
8087,Alice O'Connor,38,38755.1,2023-12-11,B
4874,Frank Johnson,31,95018.77,2023-08-26,B
1539,Diana,23,58793.045,2025-11-02,A
3356,Frank,29,56034.18,2022-08-18,A
889,Charlie Smith,35,49878.77,2021-05-08,C
8565,Bob O'Connor,27,58793.045,2023-04-21,B
530,Eve Lee,35,134590.725,2023-12-02,B
7082,Unknown,39,53265.78,2020-09-01,C
9306,Eve,55,-30.04,2020-12-14,C
5773,Bob Johnson,46,50784.42,2024-01-15,B
9489,Unknown,31,134590.725,2022-11-05,A
3363,Frank Smith,47,32545.82,2025-11-02,C
7043,Bob,39,89636.27,2020-01-05,B
1491,Bob Johnson,34,40958.03,2022-06-23,A
1735,Grace Van Der Waal,35,134590.725,2020-12-11,B
9268,Diana,32,84852.8,2022-07-07,C
4363,Bob Lee,42,25542.62,2025-11-02,B
2049,Alice O'Connor,35,37581.5,2020-05-16,A
5968,Diana,26,84337.02,2021-04-13,B
2833,Grace Smith,25,83191.12,2025-11-02,C
5482,Eve,38,80142.57,2021-10-31,C
6554,Frank,40,64750.21,2020-02-03,A
5270,Diana Lee,31,51048.88,2022-02-06,A
829,Unknown,21,103091.65,2025-11-02,C
6465,Alice,50,38867.81,2021-12-10,C
3802,Bob,47,61495.34,2021-10-16,C
7234,Alice,11,43911.39,2025-11-02,B
4981,Grace Johnson,51,42194.3,2021-09-05,B
321,Frank,32,47595.81,2020-06-04,C
9817,Unknown,37,41455.2,2021-01-14,A
5300,Lee,48,58793.045,2023-07-08,C
1784,Bob Smith,54,28622.52,2022-10-30,C
5317,Diana Lee,47,74273.44,2021-09-14,B
